CustomerID,CreditScore,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,GameGenre,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Subscription_Length_Months,Monthly_Bill,Contract,MonthlyCharges,TotalCharges,tenure
27,0,0,0,0,0,0,0,Puzzle,Medium,1,146,48,13,High,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1897,Yearly,174,8565,5
29,456,29086,2,1,0,86678,0,Action,Hard,14,68,11,1,High,16,1165,Yearly,853,30397,2
30,819,7591,1,1,1,52421,0,Adventure,Easy,15,28,15,4,High,10,459,Yearly,530,19861,2
31,590,16096,3,1,0,65136,0,Adventure,Medium,7,77,9,3,Medium,10,427,Monthly,1256,32376,14
32,739,1206,2,1,1,40036,0,Adventure,Easy,3,104,4,5,Medium,3,1174,Monthly,1224,12931,17
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1519,Monthly,1326,21193,36
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1409,Monthly,371,12737,32
35,729,48326,3,0,1,42450,0,Adventure,Medium,5,111,3,1,High,13,990,Yearly,713,19913,18
36,566,97117,4,1,0,117953,0,0,0,0,0,0,0,0,0,0,0,0,0,10
37,538,34507,2,0,1,25011,0,Strategy,Hard,9,52,10,10,Low,14,717,Monthly,1479,18332,11
38,556,37945,2,0,1,71158,0,0,0,0,0,0,0,0,0,0,0,0,0,5
39,835,48974,1,0,0,63076,0,Action,Easy,14,53,11,5,Medium,10,673,Monthly,1073,2039,1
40,0,0,0,0,0,0,0,Strategy,Hard,13,165,22,5,High,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1831,Monthly,1117,17065,36
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1693,Yearly,403,24108,26
43,696,25034,4,1,1,78409,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,Strategy,Medium,12,113,33,16,High,0,0,0,0,0,0
45,0,0,0,0,0,0,0,Adventure,Easy,11,141,28,7,High,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,231,Monthly,1147,34093,6
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,193,Monthly,1347,46928,4
48,0,0,0,0,0,0,0,Strategy,Hard,10,73,44,20,Low,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1107,Yearly,1868,39177,20
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,646,Monthly,1308,30213,17
51,0,0,0,0,0,0,0,Adventure,Easy,3,140,25,2,Medium,0,0,0,0,0,0
52,620,56657,4,1,1,67492,0,0,0,0,0,0,0,0,0,0,0,0,0,9
53,786,15662,3,0,1,33370,0,Strategy,Hard,9,117,25,5,Medium,3,1087,Monthly,534,5882,23
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,936,Yearly,1715,43679,9
55,501,93773,3,1,1,67208,0,0,0,0,0,0,0,0,0,0,0,0,0,7
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1901,Yearly,1856,7669,3
57,554,44918,1,1,1,82131,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,Puzzle,Medium,4,93,5,10,High,0,0,0,0,0,0
59,0,0,0,0,0,0,0,Puzzle,Medium,9,100,30,16,Medium,0,0,0,0,0,0
60,500,10439,2,1,0,137730,0,0,0,0,0,0,0,0,0,0,0,0,0,5
61,645,35037,1,0,0,61747,0,Adventure,Hard,15,41,6,9,Low,8,768,Monthly,1062,29789,12
62,569,18267,3,0,1,40511,0,Adventure,Medium,7,89,9,0,Low,10,363,Yearly,796,11143,21
63,842,90617,1,0,0,149126,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,802,Yearly,509,47107,18
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,839,Monthly,569,20454,20
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,881,Monthly,1944,22269,19
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1329,Monthly,196,30073,23
68,0,0,0,0,0,0,0,Strategy,Hard,7,164,9,11,Low,0,0,0,0,0,0
69,581,68410,3,1,0,90317,0,0,0,0,0,0,0,0,0,0,0,0,0,5
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,543,Yearly,263,25014,10
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1793,Monthly,839,32946,35
72,0,0,0,0,0,0,0,Puzzle,Easy,14,22,32,16,Medium,0,0,0,0,0,0
73,641,44004,3,1,1,81744,0,0,0,0,0,0,0,0,0,0,0,0,0,10
74,707,37334,1,1,1,24711,0,Strategy,Easy,3,70,20,3,Low,10,972,Yearly,748,32025,16
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1246,Monthly,310,40487,34
76,478,13972,2,0,0,28915,0,Puzzle,Medium,5,105,12,3,Low,3,1334,Monthly,541,22178,18
77,623,16969,2,1,1,21754,0,Puzzle,Hard,3,55,15,9,High,2,1052,Monthly,1475,26602,7
78,437,45979,3,0,1,43661,0,Action,Hard,12,73,12,1,Medium,10,333,Monthly,446,27642,22
79,527,1897,3,1,1,24924,0,Puzzle,Hard,9,119,1,1,Medium,16,1495,Yearly,267,11377,17
80,670,40296,3,0,1,88522,0,Adventure,Medium,11,14,16,1,Low,16,354,Monthly,629,11816,15
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,319,Monthly,1836,20663,23
82,712,38589,1,1,1,33312,0,Puzzle,Easy,8,54,26,10,High,3,930,Monthly,345,32333,15
83,520,29023,1,0,1,97126,0,Action,Easy,3,48,13,7,High,24,824,Yearly,508,27756,2
84,427,35575,2,1,0,53363,0,Puzzle,Easy,8,54,20,2,Low,22,1398,Yearly,1222,35274,10
85,692,12397,1,1,1,26437,0,Action,Hard,15,96,3,4,Low,14,405,Monthly,602,9822,22
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,246,Monthly,1920,24883,36
87,788,3999,1,1,0,33332,0,0,0,0,0,0,0,0,0,0,0,0,0,8
88,0,0,0,0,0,0,0,Strategy,Easy,4,59,50,18,Low,0,0,0,0,0,0
89,473,44678,2,0,1,47357,0,Strategy,Medium,5,108,6,6,Medium,23,852,Yearly,521,27313,2
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1514,Yearly,1556,3672,35
91,458,75023,2,1,0,33436,0,0,0,0,0,0,0,0,0,0,0,0,0,10
92,808,68077,1,0,0,148415,0,0,0,0,0,0,0,0,0,0,0,0,0,4
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1019,Monthly,273,7717,3
94,673,50518,3,0,1,64062,0,0,0,0,0,0,0,0,0,0,0,0,0,8
95,0,0,0,0,0,0,0,Puzzle,Easy,11,55,25,1,Low,0,0,0,0,0,0
96,574,81985,1,1,1,35388,0,0,0,0,0,0,0,0,0,0,0,0,0,2
97,0,0,0,0,0,0,0,Strategy,Medium,3,14,44,11,Low,0,0,0,0,0,0
98,553,47749,4,1,0,91291,0,0,0,0,0,0,0,0,0,0,0,0,0,5
99,637,35969,1,0,1,83734,0,Strategy,Hard,4,45,26,10,Low,10,255,Yearly,241,19272,2
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1792,Yearly,320,5403,14
101,664,33211,3,0,1,91760,0,Action,Medium,3,55,18,3,High,23,1206,Monthly,1145,10247,23
102,571,19248,2,1,1,91034,0,Strategy,Hard,2,67,13,7,Medium,13,225,Monthly,302,27953,4
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,405,Yearly,1825,27819,33
104,0,0,0,0,0,0,0,Strategy,Hard,12,116,27,15,High,0,0,0,0,0,0
105,0,0,0,0,0,0,0,Adventure,Medium,5,60,19,10,Medium,0,0,0,0,0,0
106,0,0,0,0,0,0,0,Adventure,Medium,5,53,20,16,High,0,0,0,0,0,0
107,0,0,0,0,0,0,0,Strategy,Hard,18,59,25,9,Medium,0,0,0,0,0,0
108,654,27626,3,0,1,59983,0,Action,Easy,13,56,24,0,Low,17,1431,Yearly,561,30968,3
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1597,Yearly,275,10421,14
110,478,16610,1,1,0,31029,0,0,0,0,0,0,0,0,0,0,0,0,0,9
111,550,42421,3,1,0,55382,0,Puzzle,Hard,3,11,15,6,Medium,24,1121,Yearly,1326,39085,3
112,0,0,0,0,0,0,0,Puzzle,Easy,2,179,46,12,Medium,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1791,Monthly,164,45100,22
114,467,36007,2,0,1,99629,0,Adventure,Easy,3,71,16,3,Low,18,1335,Yearly,1210,23067,20
115,498,27316,4,1,1,120281,0,0,0,0,0,0,0,0,0,0,0,0,0,7
116,760,208,4,0,0,111530,0,0,0,0,0,0,0,0,0,0,0,0,0,3
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,768,Monthly,1245,48282,1
118,812,9002,1,0,0,74195,0,Strategy,Hard,6,33,20,5,Low,10,1203,Yearly,1006,36053,3
119,480,12502,2,1,0,66638,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,0,0,0,0,0,0,0,Strategy,Medium,8,51,50,14,High,0,0,0,0,0,0
121,736,18036,2,1,0,131143,0,0,0,0,0,0,0,0,0,0,0,0,0,2
122,0,0,0,0,0,0,0,Adventure,Easy,9,174,15,13,Medium,0,0,0,0,0,0
123,406,38143,2,0,0,138683,0,0,0,0,0,0,0,0,0,0,0,0,0,4
124,623,8207,1,1,1,22650,0,Strategy,Hard,1,89,28,6,Low,14,748,Monthly,960,23623,13
125,579,6274,4,0,0,43154,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,540,48974,2,0,0,33390,0,Strategy,Hard,6,99,5,4,High,15,660,Monthly,1112,22696,24
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,474,Yearly,167,5907,18
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1462,Monthly,1465,34860,26
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,420,Yearly,163,22843,3
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1346,Monthly,1705,18624,13
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1493,Monthly,1477,30934,16
132,633,20451,3,1,0,95272,0,Action,Hard,8,103,17,4,High,4,1015,Monthly,1499,37199,5
133,424,28830,2,1,1,83289,0,Strategy,Easy,1,106,21,2,Medium,23,515,Monthly,760,20099,7
134,682,86984,2,0,1,61115,0,0,0,0,0,0,0,0,0,0,0,0,0,2
135,0,0,0,0,0,0,0,Adventure,Medium,2,131,43,0,High,0,0,0,0,0,0
136,508,99455,1,0,1,118898,0,0,0,0,0,0,0,0,0,0,0,0,0,10
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1492,Yearly,1506,46438,4
138,755,41701,1,0,1,48635,0,0,0,0,0,0,0,0,0,0,0,0,0,10
139,628,829,2,0,0,41715,0,Action,Hard,7,114,8,9,High,6,773,Monthly,303,7883,20
140,0,0,0,0,0,0,0,Action,Easy,3,66,10,20,High,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,773,Yearly,820,17908,32
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,632,Yearly,1209,31763,8
143,793,49955,1,1,0,93810,0,Action,Medium,14,48,21,7,Medium,18,334,Monthly,251,2577,22
144,672,34196,2,0,1,71486,0,Adventure,Medium,2,65,7,9,Low,9,1384,Monthly,710,34584,13
145,832,13126,3,0,0,68112,0,Adventure,Hard,14,100,11,5,Low,16,546,Monthly,1350,30314,16
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,832,Monthly,682,9440,21
147,0,0,0,0,0,0,0,Puzzle,Hard,1,95,21,18,Medium,0,0,0,0,0,0
148,0,0,0,0,0,0,0,Strategy,Hard,8,50,41,14,Medium,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1667,Yearly,1013,36580,18
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1281,Monthly,794,4624,32
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,738,Yearly,1460,26483,34
152,0,0,0,0,0,0,0,Puzzle,Hard,3,148,21,6,High,0,0,0,0,0,0
153,505,52828,3,1,0,122494,0,0,0,0,0,0,0,0,0,0,0,0,0,4
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1879,Yearly,1847,41298,18
155,629,10659,1,0,0,88567,0,Adventure,Hard,13,111,25,5,Low,17,532,Yearly,972,33232,2
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1375,Yearly,476,14112,1
157,574,95395,1,0,1,37402,0,0,0,0,0,0,0,0,0,0,0,0,0,2
158,0,0,0,0,0,0,0,Action,Easy,6,150,37,6,High,0,0,0,0,0,0
159,0,0,0,0,0,0,0,Action,Hard,1,11,43,4,High,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,362,Yearly,1974,13639,8
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,127,Monthly,1552,49891,11
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,618,Yearly,1234,44834,12
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1043,Monthly,484,34369,35
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1179,Monthly,922,19608,32
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,545,Yearly,1919,26734,20
166,735,9902,2,1,1,27353,0,Strategy,Hard,2,100,25,10,Low,18,952,Yearly,257,16221,7
167,566,22458,3,1,0,44793,0,Adventure,Hard,13,36,14,7,Low,17,1374,Monthly,1315,10865,16
168,0,0,0,0,0,0,0,Puzzle,Easy,15,46,30,12,Low,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,662,Yearly,1775,5767,15
170,0,0,0,0,0,0,0,Action,Hard,19,86,13,13,Low,0,0,0,0,0,0
171,696,53588,3,0,0,98429,0,0,0,0,0,0,0,0,0,0,0,0,0,3
172,661,29862,3,1,1,47134,0,Puzzle,Easy,10,39,19,2,High,12,681,Monthly,596,36440,9
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1298,Monthly,199,14832,16
174,761,16549,2,1,1,34619,0,Action,Medium,3,62,26,9,High,22,273,Monthly,324,24890,22
175,629,4421,3,1,0,58702,0,0,0,0,0,0,0,0,0,0,0,0,0,7
176,594,13414,2,0,1,57091,0,Action,Easy,14,63,18,1,High,23,747,Yearly,329,4395,10
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1972,Yearly,1038,3997,12
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,238,Yearly,555,12614,21
179,0,0,0,0,0,0,0,Adventure,Easy,5,72,27,15,Medium,0,0,0,0,0,0
180,839,13233,4,0,1,100033,0,0,0,0,0,0,0,0,0,0,0,0,0,8
181,792,82063,1,1,0,70636,0,0,0,0,0,0,0,0,0,0,0,0,0,5
182,0,0,0,0,0,0,0,Action,Hard,13,107,36,5,High,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,821,Monthly,316,4094,31
184,411,15107,2,0,1,24384,0,Puzzle,Hard,2,62,24,0,High,23,323,Monthly,1425,23995,10
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1933,Monthly,1999,41979,10
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1204,Yearly,1620,23046,8
187,0,0,0,0,0,0,0,Adventure,Hard,8,158,4,3,Medium,0,0,0,0,0,0
188,0,0,0,0,0,0,0,Strategy,Hard,1,141,14,16,High,0,0,0,0,0,0
189,653,32291,1,0,0,54846,0,Puzzle,Easy,1,49,21,8,High,13,490,Yearly,249,38323,12
190,444,12757,4,1,0,133532,0,0,0,0,0,0,0,0,0,0,0,0,0,10
191,727,9965,2,0,0,38646,0,Puzzle,Easy,4,120,30,6,High,4,915,Yearly,1246,30827,11
192,0,0,0,0,0,0,0,Puzzle,Hard,4,48,44,5,Low,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1636,Yearly,906,43050,19
194,568,68728,3,1,0,104052,0,0,0,0,0,0,0,0,0,0,0,0,0,6
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1197,Yearly,1912,24607,23
196,0,0,0,0,0,0,0,Strategy,Medium,16,174,30,5,Low,0,0,0,0,0,0
197,657,38930,2,0,1,45591,0,Puzzle,Medium,13,51,30,0,Medium,14,1006,Yearly,1065,32423,11
198,0,0,0,0,0,0,0,Adventure,Easy,18,165,44,14,Low,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1128,Monthly,1998,16213,34
200,0,0,0,0,0,0,0,Action,Hard,16,34,22,14,Low,0,0,0,0,0,0
